Nama Pos,Kabupaten,Kecamatan,Tanggal,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Ags,Sep,Okt,Nov,Des
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,1,33.5,113.0,0.0,135.8,0.0,73.8,0.0,0.0,0.0,0.0,46.8,32.7
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,2,0.0,14.2,52.8,41.5,0.0,23.5,0.0,4.2,0.0,0.0,37.3,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,3,0.0,37.3,43.5,12.3,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.3
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,4,0.0,82.5,28.0,82.5,18.0,0.0,0.0,0.0,0.0,0.0,82.0,22.9
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,5,43.0,12.3,0.0,0.0,22.5,9.7,0.0,0.0,0.0,0.0,0.0,57.4
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,6,67.5,0.0,112.8,38.5,31.8,7.2,0.0,0.0,3.7,0.0,3.5,9.2
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,7,38.0,73.5,63.5,7.8,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,8,7.3,32.5,7.0,27.8,0.0,6.5,4.8,23.8,0.0,0.0,32.7,11.4
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,9,12.5,45.0,74.8,7.3,0.0,4.2,62.5,9.5,0.0,0.0,82.5,9.2
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,10,28.0,27.5,7.2,158.3,0.0,16.5,26.8,0.0,0.0,0.0,9.3,21.5
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,11,31.5,58.5,43.5,14.3,0.0,32.8,0.0,0.0,3.8,3.8,28.5,6.2
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,12,107.5,82.0,38.2,0.0,0.0,0.0,0.0,0.0,18.3,0.0,24.3,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,13,21.3,19.0,28.3,218.0,9.5,0.0,0.0,27.3,0.0,0.0,16.3,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,14,0.0,53.7,17.8,21.3,37.2,0.0,0.0,0.0,14.3,0.0,12.8,12.4
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,15,0.0,27.0,22.5,7.2,0.0,5.8,0.0,0.0,32.5,0.0,31.5,17.8
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,16,0.0,124.3,92.8,0.0,0.0,38.2,0.0,0.0,9.4,0.0,21.4,34.5
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,17,16.5,87.2,7.5,0.0,0.0,0.0,0.0,0.0,3.5,63.4,9.3,19.2
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,18,9.0,112.0,12.3,0.0,0.0,68.5,0.0,6.8,0.0,2.7,57.2,7.5
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,19,5.3,5.5,0.0,0.0,0.0,4.2,18.4,0.0,0.0,10.5,24.0,13.3
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,20,14.0,9.3,6.2,0.0,0.0,3.7,3.8,0.0,0.0,0.0,14.5,64.8
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,22,78.0,6.3,14.8,0.0,0.0,28.5,0.0,0.0,12.5,32.8,19.3,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,23,7.3,27.5,62.7,0.0,62.7,18.2,0.0,0.0,42.8,0.0,12.5,32.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,24,13.0,34.2,12.5,6.8,47.5,27.5,0.0,0.0,5.2,0.0,7.2,6.5
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,25,7.0,158.5,5.8,5.5,0.0,62.8,0.0,0.0,67.2,0.0,4.8,65.8
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,26,78.5,7.2,0.0,0.0,0.0,48.5,0.0,0.0,123.8,21.8,18.5,9.5
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,27,134.0,45.7,0.0,0.0,0.0,11.8,0.0,0.0,0.0,80.3,11.7,20.8
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,28,124.0,7.8,8.4,178.0,48.3,18.7,0.0,0.0,0.0,14.3,0.0,47.2
Merden Provinsi :Jawa tengah,Kebumen,Padureso,1,8.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,57.0,7.0
Merden Provinsi :Jawa tengah,Kebumen,Padureso,2,4.0,23.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,37.0,9.0
Merden Provinsi :Jawa tengah,Kebumen,Padureso,3,0.0,103.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,2.0,14.0
Merden Provinsi :Jawa tengah,Kebumen,Padureso,4,13.0,74.0,0.0,67.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,17.0
Merden Provinsi :Jawa tengah,Kebumen,Padureso,5,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,26.0
Merden Provinsi :Jawa tengah,Kebumen,Padureso,6,19.0,0.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,31.0,3.0
Merden Provinsi :Jawa tengah,Kebumen,Padureso,7,60.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
Merden Provinsi :Jawa tengah,Kebumen,Padureso,8,35.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,27.0
Merden Provinsi :Jawa tengah,Kebumen,Padureso,9,57.0,176.0,33.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0
Merden Provinsi :Jawa tengah,Kebumen,Padureso,10,17.0,64.0,1.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,21.0,2.0
Merden Provinsi :Jawa tengah,Kebumen,Padureso,11,21.0,1.0,127.0,0.0,0.0,80.0,0.0,0.0,6.0,0.0,4.0,58.0
Merden Provinsi :Jawa tengah,Kebumen,Padureso,12,51.0,6.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,19.0
Merden Provinsi :Jawa tengah,Kebumen,Padureso,13,104.0,9.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
Merden Provinsi :Jawa tengah,Kebumen,Padureso,14,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,8.0,9.0
Merden Provinsi :Jawa tengah,Kebumen,Padureso,15,0.0,1.0,1.0,0.0,0.0,30.0,0.0,0.0,1.0,0.0,9.0,7.0
Merden Provinsi :Jawa tengah,Kebumen,Padureso,16,26.0,28.0,8.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,60.0,10.0
Merden Provinsi :Jawa tengah,Kebumen,Padureso,17,14.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Merden Provinsi :Jawa tengah,Kebumen,Padureso,18,41.0,9.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,22.0
Merden Provinsi :Jawa tengah,Kebumen,Padureso,19,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,30.0,47.0,25.0
Merden Provinsi :Jawa tengah,Kebumen,Padureso,20,5.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0,12.0,0.0,32.0
Merden Provinsi :Jawa tengah,Kebumen,Padureso,22,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,63.0,6.0
Merden Provinsi :Jawa tengah,Kebumen,Padureso,23,3.0,93.0,0.0,0.0,0.0,31.0,0.0,0.0,2.0,5.0,3.0,30.0
Merden Provinsi :Jawa tengah,Kebumen,Padureso,24,0.0,0.0,48.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,3.0
Merden Provinsi :Jawa tengah,Kebumen,Padureso,25,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,9.0
Merden Provinsi :Jawa tengah,Kebumen,Padureso,26,30.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,2.0,12.0
