Nama Pos,Kabupaten,Kecamatan,Tanggal,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Ags,Sep,Okt,Nov,Des
Reban Provinsi :Jawa Tengah,Batang,Reban,1,350.0,30.0,0.0,30.0,0.0,100.0,0.0,0.0,30.0,30.0,40.0,110.0
Reban Provinsi :Jawa Tengah,Batang,Reban,2,0.0,890.0,50.0,0.0,0.0,140.0,0.0,0.0,0.0,50.0,0.0,60.0
Reban Provinsi :Jawa Tengah,Batang,Reban,3,0.0,40.0,0.0,50.0,0.0,70.0,0.0,40.0,0.0,80.0,0.0,0.0
Reban Provinsi :Jawa Tengah,Batang,Reban,4,200.0,20.0,30.0,200.0,140.0,90.0,20.0,20.0,0.0,260.0,150.0,50.0
Reban Provinsi :Jawa Tengah,Batang,Reban,5,0.0,120.0,160.0,70.0,430.0,130.0,0.0,0.0,0.0,160.0,210.0,70.0
Reban Provinsi :Jawa Tengah,Batang,Reban,6,90.0,650.0,210.0,0.0,0.0,180.0,80.0,0.0,0.0,210.0,820.0,0.0
Reban Provinsi :Jawa Tengah,Batang,Reban,7,30.0,710.0,460.0,150.0,80.0,180.0,40.0,0.0,0.0,450.0,250.0,70.0
Reban Provinsi :Jawa Tengah,Batang,Reban,8,0.0,60.0,330.0,30.0,50.0,0.0,0.0,0.0,250.0,50.0,150.0,50.0
Reban Provinsi :Jawa Tengah,Batang,Reban,9,100.0,50.0,170.0,130.0,130.0,0.0,110.0,0.0,0.0,0.0,80.0,80.0
Reban Provinsi :Jawa Tengah,Batang,Reban,10,60.0,340.0,360.0,200.0,100.0,0.0,40.0,0.0,60.0,420.0,320.0,350.0
Reban Provinsi :Jawa Tengah,Batang,Reban,11,450.0,120.0,200.0,50.0,370.0,60.0,0.0,40.0,90.0,0.0,40.0,50.0
Reban Provinsi :Jawa Tengah,Batang,Reban,12,440.0,180.0,200.0,170.0,780.0,0.0,0.0,60.0,0.0,250.0,0.0,30.0
Reban Provinsi :Jawa Tengah,Batang,Reban,13,290.0,370.0,50.0,0.0,740.0,70.0,20.0,20.0,70.0,210.0,430.0,0.0
